nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Kubis Hijau,"1 mangkok, dicincang",21,"0,11g","4,97g","1,28g",16mg,0mg
Petai,100 gram (g),91,"0,37g","16,62g","6,58g",7mg,0mg
Kacang Hijau Dimasak (Kalengan),1 mangkok,150,"4,31g","21,51g","7,54g",460mg,0mg
Seledri Dimasak,"1 mangkok, potong dadu",60,"3,94g","6,09g","1,26g",476mg,0mg
Daun Bawang (Loncang),"1 mangkok, dicincang",32,"0,19g","7,34g","1,83g",16mg,0mg
Rebung Dimasak (Lemak Ditambahkan dalam Masakan),1 mangkok,98,"5,55g","10,55g","5,23g",543mg,0mg
"Sayuran Campur (Kering Padatan, Kaleng)",1 mangkok,80,"0,41g","15,09g","4,22g",243mg,0mg
Jagung,1 gelas,132,"1,82g","29,29g","4,96g",23mg,0mg
Cap Cay Kuah,1 porsi,250,15g,11g,10g,,
Mentimun (dengan Kulit),1 ketimun (21 cm),45,"0,33g","10,93g","1,96g",6mg,0mg
Salad Selada dengan Berbagai Macam Sayuran (Termasuk Tomat dan / atau Wortel),1 mangkok,12,"0,12g","2,77g","0,63g",14mg,0mg
Jamur,100 gram (g),22,"0,34g","3,28g","3,09g",5mg,0mg
Jamur Tiram,100 gram (g),35,"0,44g","6,43g","3,34g",18mg,0mg
Talas,100 gram (g),112,"0,2g","26,46g","1,5g",11mg,0mg
Jagung Rebus,1 potong,59,"0,47g","14,07g","1,96g",3mg,0mg
"Bayam Dimasak (dari Beku, Lemak tidak Ditambahkan dalam Masakan)","1 mangkok, beku, helai",61,"0,95g","9,75g","7,58g",553mg,0mg
Akar Teratai,100 gram (g),74,"0,1g","17,23g","2,6g",556mg,0mg
Selada Arugula,1 mangkok,5,"0,13g","0,73g","0,52g",5mg,0mg
Kubis Merah,"1 mangkok, dicincang",28,"0,14g","6,56g","1,27g",24mg,0mg
Kentang Putih (Daging dan Kulit),"1 besar (diameter 7,5 cm - 10,5 cm)",258,"0,37g","57,97g","6,2g",22mg,0mg
Gudeg,100 gram (g),127,"4,71g","22,54g","1,82g",147mg,0mg
Wortel Bayi,1 sedang,4,"0,01g","0,82g","0,06g",8mg,0mg
Sayuran Campur (Beku),1 paket (285 g),182,"1,48g","38,23g","9,46g",602mg,0mg
Jahe,1 sdt,2,"0,02g","0,36g","0,04g",0mg,0mg
Kale,100 gram (g),50,"0,7g","10,01g","3,3g",447mg,0mg
Terung,100 gram (g),24,"0,19g","5,7g","1,01g",2mg,0mg
Bayam Bayi/Kecil,1 mangkok,7,"0,12g","1,09g","0,86g",24mg,0mg
"Sayuran Campur  (Padat dan Cair, Kaleng)",1 mangkok,88,"0,61g","17,44g","3,48g",338mg,0mg
Tomat Anggur,1 anggur,1,"0,02g","0,31g","0,07g",0mg,0mg
Sawi Dimasak,"1 mangkok, segar, beku, atau kalengan",74,"3,92g","8,42g","3,59g",471mg,0mg
Oyong,100 gram (g),18,"0,18g","4,02g","1,08g",4mg,0mg
Kembang Turi,100 gram (g),44,"0,6g","9,64g","1,95g",10mg,0mg
Selada,1 daun sedang,1,"0,01g","0,24g","0,07g",1mg,0mg
Kubis Hijau Dimasak,1 mangkok,65,"4,32g","6,76g","1,53g",428mg,0mg
Bawang Hijau Muda,"1 mangkok, dicincang",32,"0,19g","7,34g","1,83g",16mg,0mg
Terung Dimasak,"1 mangkok, potong dadu",66,"3,89g","8,39g","0,8g",493mg,0mg
Okra,1 mangkok,31,"0,1g","7,03g",2g,8mg,0mg
Bawang Bombay,100 gram (g),40,"0,08g","9,63g","0,88g",3mg,0mg
Wortel (Beku),"1/2 mangkok, irisan",23,"0,29g","5,06g","0,5g",44mg,0mg
"Kedelai (Matang, tanpa Garam, Dimasak, Direbus)",1 mangkok,298,"15,43g","17,08g","28,62g",2mg,0mg
Tomat Merah,"1 utuh sedang (diameter 6,5 cm)",22,"0,25g","4,82g","1,08g",6mg,0mg
Bawang Bombay Dimasak,100 gram (g),94,4g,"14,24g","1,51g",282mg,0mg
Bayam Dimasak (dari Segar),"1 mangkok, segar",74,"4,16g","6,81g","5,33g",527mg,0mg
Lobak Dimasak,"1 mangkok, potongan-potongan",67,"3,79g","7,9g","1,1g",424mg,0mg
Okra Goreng Dicelup Adonan,1 mangkok,173,"12,94g","13,12g","2,37g",121mg,5mg
Kacang Polong,100 gram (g),42,"0,2g","7,55g","2,8g",4mg,0mg
Salad Selada dengan Berbagai Macam Sayuran,1 mangkok,11,"0,11g","2,32g","0,55g",15mg,0mg
Kacang Polong (Polong),"1 mangkok, utuh",26,"0,13g","4,76g","1,76g",3mg,0mg
Bawang,"1 mangkok, irisan",48,"0,09g","11,63g","1,06g",3mg,0mg
Bit,1 mangkok,58,"0,23g",13g,"2,19g",106mg,0mg
"Kubis Cina (Bok-Choy, Pak-Choi)","1 mangkok, parut",9,"0,14g","1,53g","1,05g",46mg,0mg
Artichoke Matang (dari Segar),1 bola sedang,84,"2,86g","13,59g","4,21g",405mg,0mg
Okra (Beku),100 gram (g),30,"0,25g","6,63g","1,69g",3mg,0mg
Labu Kuning,100 gram (g),25,"0,2g","5,54g","1,28g",6mg,0mg
Kacang Panjang Hijau Dimasak dengan Saus Jamur,1 mangkok,125,"6,45g","14,55g","3,94g",654mg,2mg
Kubis Savoy,"1 mangkok, parut",19,"0,07g","4,27g","1,4g",20mg,0mg
"Kedelai (Biji Dewasa, Dikukus, Dimasak)",100 gram (g),81,"4,45g","6,53g","8,47g",10mg,0mg
Oden,100 gram (g),124,"5,58g","10,73g","7,31g",325mg,79mg
Bengkoang,100 gram (g),38,"0,09g","8,82g","0,72g",4mg,0mg
Kedelai Dimasak (Lemak tidak Ditambahkan dalam Masakan),1 gelas,310,"16,06g","17,77g","29,77g",418mg,0mg
"Wortel (Padat dan Cair, Kaleng)","1/2 mangkok, irisan",28,"0,17g","6,61g","0,71g",295mg,0mg
Asinan,1 porsi (200 g),148,"5,02g","22,97g","4,97g","17,26g","2,239g"
Bakwan,1 potong,137,"11,59g","6,74g","1,99g","1,05g","6,654g"
Sereh,100 gram (g),99,"0,49g","25,31g","1,82g",,0mg
Ketumbar,1 tangkai,0,"0,01g","0,04g","0,02g",1mg,0mg
Tomat Merah (Kaleng),1 mangkok,41,"0,31g","9,38g","1,92g",307mg,0mg
Tomat Ceri,1 ceri,3,"0,03g","0,67g","0,15g",1mg,0mg
Kentang Panggang (Lemak tidak Ditambahkan dalam Masakan),"1 sedang (diameter 5,5 cm - 7,5 cm, mentah)",124,"0,14g","28,19g","3,26g",141mg,0mg
Artichoke Matang (Kalengan),"1 mangkok, hati",116,"3,96g","18,81g","5,83g",561mg,0mg
Arugula (Roket),1/2 mangkok,2,"0,07g","0,36g","0,26g",3mg,0mg
Kacang Hijau Dimasak,"1 mangkok, segar, beku, atau kalengan",167,"4,04g","25,01g","8,55g",406mg,0mg
Gado Gado,100 gram (g),132,"7,41g","10,9g","7,14g",126mg,78mg
Wortel,100 gram (g),41,"0,24g","9,58g","0,93g","4,54g","0,014g"
Sawi Putih,100 gram (g),12,"0,17g","2,23g","1,1g",,11mg
Sayur Lodeh,1 mangkok,162,"9,47g","14,73g","6,66g",489mg,7mg
Sayur Pakis,100 gram (g),34,"0,4g","5,54g","4,55g",,1mg
Daun Katuk,100 gram (g),60,"1,28g","10,72g","4,72g",5mg,0mg
Bawang Putih,1 siung,4,"0,02g","0,99g","0,19g",1mg,0mg
Bawang Merah,1 kecil,29,"0,06g","7,08g","0,64g",2mg,0mg
Cabai Panas,100 gram (g),40,"0,32g","9,14g","1,94g",8mg,0mg
Mixed Vegetables,100 g,70,"0,5g",14g,3g,,"3,00g"
Adas,100 gram (g),31,"0,2g","7,29g","1,24g",,"3,1g"
Selada Air,100 gram (g),11,"0,1g","1,29g","2,3g",41mg,0mg
Jagung Kecil/Tunas Jagung,1 bonggol/tongkol,6,"0,08g","1,49g","0,21g",17mg,0mg
Terong Goreng,100 gram (g),148,"10,75g","11,58g","2,4g",62mg,16mg
Brokoli Dimasak (dari Segar),"1 mangkok, segar, potongan batang",87,"4,33g","11,24g","3,7g",465mg,0mg
Kembang Kol,100 gram (g),25,"0,1g","5,3g","1,98g",30mg,0mg
Kucai,100 gram (g),30,"0,73g","4,35g","3,27g",3mg,0mg
"Ayam atau Kalkun dan Sayuran dengan Kecap Kedelai (Termasuk Wortel, Brokoli, dan/atau Sayur Berdaun Hijau Tua, tanpa Kentang, Campuran)",1 mangkok,180,"8,59g","9,28g","15,86g",616mg,42mg
Kangkung,100 gram (g),20,"0,34g","3,18g","2,51g",69mg,0mg
Labu,100 gram (g),26,"0,1g","6,5g",1g,1mg,0mg
Daun Singkong,100 gram (g),38,"0,29g","7,25g","3,66g",10mg,0mg
Brokoli,100 gram (g),34,"0,37g","6,64g","2,82g",33mg,0mg
Kecambah,100 gram (g),29,"0,48g","4,69g","3,59g",6mg,0mg
Sawi Hijau,100 gram (g),13,"0,2g","2,18g","1,5g",65mg,0mg
Mentimun (Kupas),100 gram (g),12,"0,16g","2,16g","0,59g",2mg,0mg
Urap,100 gram (g),112,"7,65g","10,89g","2,32g","4,24g","0,345g"
Sawi,"1 mangkok, dicincang",11,"0,15g","2,05g","0,88g",7mg,0mg
Bayam,100 gram (g),23,"0,39g","3,63g","2,86g",79mg,0mg
Kubis,100 gram (g),24,"0,12g","5,58g","1,44g",18mg,0mg
Pakcoy,100 gram (g),9,"0,08g","2,03g","0,64g",8mg,0mg
Wortel Dimasak,100 gram (g),54,"2,48g","7,99g","0,74g",306mg,0mg
Tumis Kangkung,1 mangkok,211,"18,72g","8,58g","5,5g",825mg,5mg
"Sayuran Campur (Jagung, Kacang Lima, Kacang Polong, Kacang Hijau, Wortel) (tanpa Tambahan Garam, Kaleng)",1 mangkok,67,"0,36g","13,3g","2,55g",47mg,0mg
Sawi Dimasak (dari Segar),"1 mangkok, segar",56,"2,98g","6,4g","2,73g",358mg,0mg
Sayuran Mentah,1 mangkok,24,"0,23g","5,46g","1,13g",20mg,0mg
Cap Cay Kuah,100 gram (g),67,"2,59g","9,67g","1,58g",403mg,3mg
Kubis Brussel,100 gram (g),43,"0,3g","8,95g","3,38g",25mg,0mg
"Sayuran Campur Matang (Jagung, Kacang Lima, Kacang Polong, Kacang Hijau dan Wortel)",1 mangkok,151,"3,96g","23,82g","5,2g",466mg,0mg
Sayuran Rebus (tanpa Daging),1 mangkok,134,"2,32g","23,25g","6,33g",540mg,2mg
Selada Kol,100 gram (g),69,"2,61g","12,41g","1,29g",181mg,8mg
Selada Daun Hijau,100 gram (g),15,"0,15g","2,79g","1,36g",28mg,0mg
"Zucchini (dengan Garam, Dikeringkan, Dimasak, Direbus)","1/2 mangkok, irisan",14,"0,04g","3,54g","0,58g",215mg,0mg
"Kedelai (Biji Matang, dengan Garam, Dimasak, Direbus)",1 mangkok,298,"15,43g","17,08g","28,62g",408mg,0mg
Paprika Jalapeno,1 lada/merica,4,"0,09g","0,83g","0,19g",0mg,0mg
Genjer,100 g,39,0g,"7,7g","1,7g",,"1,70g"
Bawang Manis,100 gram (g),32,"0,08g","7,55g","0,8g",,"0,9g"
Lobak,"1 mangkok, potong dadu",36,"0,13g","8,36g","1,17g",87mg,0mg
Paprika Merah Manis,"1 sedang (sekitar 7 cm panjang, diameter 6,5 cm)",31,"0,36g","7,18g","1,18g",2mg,0mg
"Brokoli Dimasak (dari Segar, Lemak tidak Ditambahkan dalam Masakan)",100 gram (g),35,"0,41g","7,14g","2,37g",278mg,0mg
Pakcoy,100 g,13,"0,2g","2,18g","1,5g",,
Kailan with Garlic and Oyster Sauce,1 serving (140 g),48,3g,4g,0g,,
Sweet Corn,100 g,80,2g,12g,3g,,"4,0g"
Classic Meatloaf With Gravy Sauce And Aglio E Olio Pasta + Caramelized Onion Bread,1 porsi (100 g),456,12g,49g,38g,,
Petai Cina,100 gram (g),148,"0,57g","26,44g","10,43g",15mg,0mg
Gulai Pakis,100 gram (g),140,"11,8g","6,4g","4,93g",352mg,30mg
Rimbang,100 gram (g),70,"0,68g","15,81g","1,83g",5mg,0mg
Tumis Daun Pepaya,100 gram (g),95,2g,"12,01g","8,05g",213mg,20mg
Jengkol Balado,100 gram (g),140,"1,01g","28,76g","6,74g",225mg,0mg
Daun Beluntas,100 gram (g),43,"0,96g","9,57g","1,85g",6mg,0mg
Daun Sintrong,100 gram (g),35,"0,68g","6,23g","2,49g",65mg,0mg
Tumis Genjer,100 gram (g),35,"0,27g","7,39g","1,99g",218mg,0mg
Bakmi Spesial Gm,100 g,120,5g,13g,5g,,
Kacang Kapri,100 gram (g),98,"0,44g","17,59g","6,64g",4mg,0mg
Green Delight,1 sajian (250 ml),100,0g,23g,1g,,"23,00g"
Daily Greens,1 serving (250 ml),90,0g,22g,0g,,"5,0g"
Lawar Babi,100 gram (g),175,"10,16g","3,25g","17,32g",115mg,52mg
Nangka Muda,100 gram (g),54,"0,36g","11,89g","2,3g",22mg,0mg
Tumis Pakcoy,100 gram (g),30,"0,52g","5,57g","1,85g",220mg,0mg
Brondong Ketan,100 g,380,"1,5g",86g,6g,,"49,00g"
Sumpia Udang Pedas,1 biji (20 g),100,"4,5g",12g,2g,,115mg
Vege Biscuit,1 porsi (30 g),150,7g,19g,3g,,"0,00g"
Original Beef Bowl with Veggies,1 porsi (468 g),530,14g,77g,21g,,"21,00g"
Daun Singkong,1 porsi (50 g),19,"0,14g","3,63g","1,83g",5mg,0mg
Leunca,100 g,38,"0,3g","7,6g","1,1g",,
Max Chick’N Teriyaki Bowl,1 porsi,397,0g,0g,0g,,
Selat Solo,1 porsi (200 g),344,"12,35g","26,61g","31,56g","5,75g","4,64g"
Kecombrang,100 gram (g),34,"0,35g","7,41g","1,47g",15mg,0mg
Vegan Karaage Spicy Mayo Bowl,1 porsi,570,0g,0g,0g,0mg,"0,000g"
Daun Melinjo,100 gram (g),104,"1,25g","21,25g","5,01g",5mg,0mg
Tumis Oncom,1 porsi (120 g),126,"4,84g","15,14g",7g,"2,91g","2,145g"
Gembili,100 gram (g),108,"0,16g","25,74g","1,49g",10mg,0mg
Kacang Bogor,100 g,370,6g,65g,16g,,
Kimchi,100 g,35,0g,6g,2g,,"6,00g"
Kulit Melinjo,100 gram (g),101,"1,53g","20,71g","4,58g",3mg,0mg
Wasabi,100 gram (g),105,"0,61g","22,63g","4,62g",16mg,0mg
Bumbu Cengkeh (Kaleng),1 sdm,3,"0,04g","0,61g","0,13g",2mg,0mg
"Brokoli Dimasak (dari Beku, Lemak tidak Ditambahkan dalam Masakan)","1 mangkok, beku, cincang",52,"0,2g","9,79g","5,67g",403mg,0mg
Brokoli Dimasak (dari Beku),"1 mangkok, beku, cincang",85,"3,89g","9,9g","5,69g",433mg,0mg
Escarole Masak  (Lemak Ditambahkan dalam Masakan),1 mangkok,93,"7,26g","6,41g","2,35g",790mg,0mg
Brokoli Dimasak (Lemak tidak Ditambahkan dalam Masakan),100 gram (g),35,"0,41g","7,14g","2,37g",278mg,0mg
Brokoli Cina (Dimasak),1 mangkok,19,"0,63g","3,35g",1g,6mg,0mg
"Brokoli (Tusuk, Beku)",100 gram (g),29,"0,34g","5,35g","3,06g",17mg,0mg
Kimchi,100 gram (g),22,"0,32g","4,16g","1,73g",645mg,0mg
"Acar Bit (Padat dan Cair, Kaleng)","1 mangkok, irisan",148,"0,18g","36,96g","1,82g",336mg,0mg
Bit Dimasak (dari Segar),"1 mangkok, utuh",102,"3,83g","16,28g","2,74g",511mg,0mg
Jamur Shitake,100 gram (g),38,"0,42g","6,7g","3,02g",10mg,0mg
"Bit (Kering, Padat, Kalengan)",1 iris,2,"0,01g","0,58g","0,07g",16mg,0mg
Ubi Ungu Rebus,100 gram (g),82,"0,05g","18,26g","2,36g",52mg,0mg
"Singkong Dimasak (Yuca Blanca, Lemak Tdak Ditambahkan dalam Masakan)",100 gram (g),161,"0,28g","38,27g","1,37g",195mg,0mg
Jagung dengan Mentega,100 gram (g),106,"2,35g","21,88g","3,06g",,4mg
"Jagung Manis Kuning (Kernel Utuh, Padat Dikeringkan, Kalengan)",100 gram (g),81,1g,"18,59g","2,62g",214mg,0mg
Jamur Dimasak,1 mangkok,77,"4,41g","8,31g","3,38g",404mg,0mg
Jamur Dimasak (Lemak Ditambahkan dalam Masakan),1 mangkok,77,"4,41g","8,31g","3,38g",404mg,0mg
Jamur Dimasak (Lemak tidak Ditambahkan dalam Masakan),1 mangkok,44,"0,73g","8,21g","3,37g",373mg,0mg
"Jamur (Kering Padat, Kaleng)",1 mangkok,39,"0,45g","7,94g","2,92g",663mg,0mg
Jamur Portabella (Panggang),100 gram (g),35,"0,75g","5,08g","4,09g",10mg,0mg
"Paprika Jalapeno (Padat dan Cair, Kaleng)",1 lada/merica,6,"0,21g","1,04g","0,2g",368mg,0mg
Paprika Cabe Hijau (Kaleng),100 gram (g),21,"0,27g","4,6g","0,72g",113mg,0mg
Kentang Merah (Daging dan Kulit),"1 sedang (diameter 5,5 cm - 8 cm)",153,"0,3g","33,87g","4,03g",13mg,0mg
Karedok,100 gram (g),125,"6,97g","10,24g","6,86g",127mg,72mg
Edamame,1 mangkok,76,"4,18g","6,14g","7,96g",231mg,0mg
Paprika Hijau Pedas,1 lada/merica,18,"0,09g","4,26g","0,9g",3mg,0mg
"Bayam (Kering Padat, Kaleng)",1 mangkok,49,"1,07g","7,28g","6,01g",58mg,0mg
Plecing Kangkung,1 porsi (108 g),75,"4,53g","7,22g","3,19g",310mg,3mg
Paprika Hijau,"1 sedang (sekitar 7 cm panjang, diameter 6,5 cm)",24,"0,2g","5,52g","1,02g",4mg,0mg
Asparagus,"1 tusuk, sedang (panjang 13,5 cm - 18 cm)",3,"0,02g","0,62g","0,35g",0mg,0mg
Tumis Labu Siam,100 gram (g),46,"1,72g","7,34g","1,42g",145mg,0mg
Jamur Kancing,100 gram (g),22,"0,34g","3,28g","3,09g",5mg,0mg
"Brokoli (Cincang, Beku)",1 mangkok,41,"0,45g","7,46g","4,38g",37mg,0mg
Cap Cay,100 g,67,"2,59g","9,67g","1,58g",,"1,5g"
Jamur Coklat (Italia Crimini),1 buah,3,"0,01g","0,58g","0,35g",1mg,0mg
Salad Sayuran Hijau Campur,"1 mangkok, parut atau cincang",9,"0,13g","1,76g","0,84g",16mg,0mg
Jamur Enoki,100 gram (g),42,"0,41g","6,96g","2,7g",3mg,0mg
Kecambah Alfalfa,1 mangkok,10,"0,23g","1,25g","1,32g",2mg,0mg
Seledri,100 gram (g),14,"0,17g","2,97g","0,69g",80mg,0mg
Rujak Cingur,1 porsi (200 g),249,"12,71g","22,53g","13,68g",327mg,69mg
Ubi,"1 mangkok, irisan",100,"0,4g","23,93g","1,6g",13mg,0mg
Sayur Nangka,100 g,66,"3,5g","8,7g","1,3g",,"1,9g"
Singkong,100 gram (g),160,"0,28g","38,06g","1,36g",14mg,0mg
Daun Labu Siam,100 gram (g),21,"0,28g","3,38g","2,74g",5mg,0mg
Okra Dimasak,1 mangkok,81,"4,39g","9,6g","3,63g",437mg,0mg
Pare,100 gram (g),29,"0,22g","6,82g","1,12g",10mg,0mg
Sayur Asem,1 mangkok,80,"2,76g","12,9g","3,18g",308mg,3mg
Kentang Panggang,"1 sedang (diameter 5,5 cm - 7,5 cm, mentah)",203,"9,52g","27,28g","3,16g",137mg,0mg
Paprika Kuning Manis,"1 besar (panjang 9,5 cm, diameter 7,5 cm)",50,"0,39g","11,76g","1,86g",,"11,76g"
Kentang (Daging dan Kulit),"1 sedang (diameter 5,5 cm - 8 cm)",164,"0,19g","37,21g","4,3g",13mg,0mg
Jagung Manis Kuning,1 mangkok,132,"1,82g","29,29g","4,96g",23mg,0mg
Zucchini Bayi,1 sedang,2,"0,04g","0,34g","0,3g",50mg,0mg
Ubi Rambat,"1 mangkok, potong dadu",177,"0,26g","41,82g","2,3g",14mg,0mg
Zucchini,"1 mangkok, dicincang",20,"0,22g","4,15g","1,5g",12mg,0mg
Daun Bawang,1 mangkok,54,"0,27g","12,59g","1,34g",18mg,0mg
Jamur Portabella,100 gram (g),26,"0,2g","5,07g","2,5g",6mg,0mg
Daun Kenikir,100 gram (g),40,"0,45g","6,93g","3,81g",11mg,0mg
Daun Ubi Jalar,100 gram (g),35,"0,3g","6,38g",4g,518mg,0mg
Kacang Polong dan Wortel (Beku),1/2 mangkok,37,"0,33g","7,8g","2,38g",136mg,0mg
Ubi Jalar (Manis),100 gram (g),86,"0,05g","20,12g","1,57g",55mg,0mg
Daun Pepaya,100 g,79,2g,"11,9g",8g,,4mg
Jamur Putih (Ditumis),"1 mangkok, irisan",28,"0,36g","4,36g","3,87g",13mg,0mg
Selada Gunung Es (Termasuk Jenis Crisphead),"1 mangkok, parut atau cincang",8,"0,08g","1,63g","0,5g",6mg,0mg
Tomat,100 gram (g),18,"0,2g","3,92g","0,88g",5mg,0mg
"Bayam (Cincang atau Daun, Beku)",1 mangkok,48,"1,17g","6,75g","6,15g",115mg,0mg
Selada Daun Merah,"1 mangkok, parut",4,"0,06g","0,63g","0,37g",,"0,13g"
Kacang Hijau (Beku),1/2 mangkok,55,"0,27g","9,87g","3,75g",81mg,0mg
Jengkol,100 gram (g),151,"0,5g","23,54g","14,26g",19mg,0mg
"Kacang Hijau (Kering Padat, Kaleng)",1 mangkok,117,"0,6g","21,39g","7,51g",428mg,0mg
Jamur Kuping,100 gram (g),25,"0,04g","6,75g","0,48g",,9mg
Ubi Dimasak,"1 mangkok, potongan-potongan",143,"4,15g","26,53g","2,06g",394mg,0mg
Kacang Hijau,1 mangkok,117,"0,58g","20,97g","7,86g",7mg,0mg
Bawang Hijau Muda (Bagian Atasnya Saja),1 sdm,2,"0,01g","0,34g","0,11g",0mg,0mg
Singkong Dimasak (Yuca Blanca),1 buah,35,"0,41g","7,49g","0,27g",41mg,0mg
Rebung Dimasak (Lemak tidak Ditambahkan dalam Masakan),"1 mangkok, irisan",34,"0,37g","6,4g","3,19g",290mg,0mg
"Rebung (Kering, Padat, Kalengan)","1 cangkir (irisan 0,3 cm )",25,"0,52g","4,22g","2,25g",9mg,0mg
Rebung,"1 mangkok  (irisan 1,25 cm)",41,"0,45g","7,85g","3,93g",6mg,0mg
Tomat Dihancurkan/Dihaluskan (Kaleng),100 gram (g),32,"0,28g","7,29g","1,64g",293mg,0mg
Potongan-Potongan Jamur dan Batang,1 mangkok,15,"0,24g","2,3g","2,16g",4mg,0mg
Artichoke Hati dalam Minyak,1 hati,33,"2,35g","2,87g","0,89g",24mg,0mg
Kubis Cina,1 mangkok,9,"0,15g","1,59g","1,1g",47mg,0mg
Jamur Shimeji,100 gram (g),35,"0,44g","6,43g","3,34g",18mg,0mg
Jagung Kuning,1 mangkok,606,"7,87g","123,27g","15,64g",58mg,0mg
